site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
29,0.7707576,-0.6406888,0.009848304,0.4642983,-1.4075336,-1.3268832,0.4927025,-0.38794306,0.016949138
30,-0.6561275,0.1074831,0.51884246,0.47849852,1.0845952,1.006639,-0.7891093,0.2884825,0.01960785
31,0.7707576,-0.6406888,0.009848304,0.4642983,-1.4075336,-1.3268832,0.4927025,-0.38794306,0.016949138
32,0.4879037,0.9374322,0.5453098,-1.2188828,2.0401292,0.53380865,-0.13392755,2.2140458,0.04347826
33,-0.109662116,-0.3456489,-0.20123987,0.42882395,-0.6066042,-0.22407039,-0.035388816,-0.70686007,0.07142858
34,0.6234236,0.080600746,-1.0531346,-0.860308,0.2994399,-1.1908112,-0.10365187,0.54019564,0.015625
35,0.6439779,0.09919657,-1.1046461,-0.921054,0.31347677,-1.2188427,-0.08919634,0.55469024,0.016129022
36,0.64728063,0.09920464,-1.1015406,-0.92017734,0.3195313,-1.2226536,-0.09240263,0.5648742,0.015873004
37,0.45131516,-0.12981197,-0.6539289,-0.22492488,0.52694213,-1.1394854,-0.5514491,0.7772598,0.083333336
38,0.40882367,0.105179876,-0.4889158,-0.44192648,0.9726978,-0.8008283,-0.55714035,1.1310405,0.099999994
39,0.51456743,-0.779865,-0.80981404,0.5932505,-0.5495673,-1.8488483,-0.555597,-0.019092679,0.04347826
40,-0.8000257,0.72587895,0.509532,-0.74587095,-0.74045336,2.446257,1.3234031,-1.7576485,0.024390234
41,0.18358184,0.059744075,-0.24743299,-0.15809448,1.0187002,-0.4888705,-0.70862836,1.003061,0.0625
42,-0.38497752,-0.1969667,0.8848076,0.9739946,0.5644176,0.56274337,-0.644196,0.31158584,0.043478265
43,0.40883058,-0.0019942543,0.3799951,0.15707184,1.1076437,-0.51826364,-0.64740384,1.5284401,0.083333336
44,-0.6561275,0.1074831,0.51884246,0.47849852,1.0845952,1.006639,-0.7891093,0.2884825,0.01960785
45,-0.43163896,0.766504,0.39216292,-0.7857978,0.98148394,1.5611331,0.15784845,0.21262938,0.021276599
46,-0.2750638,-0.34923017,1.996531,1.718349,0.8482482,0.73153746,-0.83986706,0.9961215,0.083333336
47,-0.89369315,0.99620956,-0.0001199469,-1.3228369,-0.35252875,2.5629075,1.2462821,-1.7084943,0.016129049
48,-0.065562084,-0.5333471,2.1197248,1.9489455,0.4712072,0.36234796,-0.70499665,0.98900115,0.09999999
49,-1.7088665,0.2384113,0.39941734,0.7273215,2.026214,2.2936957,-1.6798875,-0.2457684,0.031249993
50,-0.8015739,0.72056866,0.52021724,-0.7321804,-0.74525654,2.4478812,1.3228118,-1.7593644,0.024999987
51,0.77079165,-0.64070946,0.00987795,0.46432245,-1.4075745,-1.3269243,0.49272117,-0.38793328,0.017241362
52,-0.93080103,1.0103046,-0.010369942,-1.3296574,-0.31207705,2.6133044,1.2189223,-1.7199447,0.055555545
53,-0.93080103,1.0103046,-0.010369942,-1.3296574,-0.31207705,2.6133044,1.2189223,-1.7199447,0.055555545
54,-1.2236465,0.77035016,0.63630015,-0.54121095,-0.4047587,3.0312283,1.0038568,-1.9311293,0.040000007
55,-1.1835432,-0.41632667,0.68813175,1.526259,-0.050616458,1.3123275,-0.76315904,-1.1878139,0.041666675
56,-1.1835432,-0.41632667,0.68813175,1.526259,-0.050616458,1.3123275,-0.76315904,-1.1878139,0.041666675
58,-0.93080103,1.0103046,-0.010369942,-1.3296574,-0.31207705,2.6133044,1.2189223,-1.7199447,0.055555545
59,-0.38497752,-0.1969667,0.8848076,0.9739946,0.5644176,0.56274337,-0.644196,0.31158584,0.043478265
60,0.40158057,-0.0092453705,0.33466876,0.14586312,1.0871845,-0.53834474,-0.65281487,1.4912866,0.06666666
62,0.009454649,-0.56231177,0.5279599,1.2242285,0.24933517,-0.53979707,-0.8331153,0.5052916,0.09090909
63,-0.8015739,0.72056866,0.52021724,-0.7321804,-0.74525654,2.4478812,1.3228118,-1.7593644,0.024999987
65,0.7931861,-0.6543921,0.02951315,0.48028934,-1.4348322,-1.3540562,0.5051139,-0.38143858,0.08333334
66,-0.050609514,-0.6697939,0.50288594,1.2725508,-0.6236008,-0.39201665,-0.31364787,-0.3595411,0.015625007
67,0.77070826,-0.64065874,0.009803735,0.46426308,-1.4074738,-1.3268237,0.49267504,-0.38795826,0.018181838
68,0.14944252,-0.48112994,-0.05881752,0.55200326,-0.8369721,-0.59036106,0.03170456,-0.57327724,0.11111113
69,0.06128714,-0.49809122,0.35652936,1.0175887,0.30057818,-0.6121501,-0.8041224,0.5418523,0.083333336
70,0.792229,-0.6538076,0.02867265,0.47960758,-1.4336678,-1.352897,0.5045851,-0.3817158,0.09090909
71,-0.051144876,-0.67547095,0.49426377,1.2772185,-0.63497883,-0.40056312,-0.3141197,-0.37134597,0.016393438
72,-0.3655303,-0.5196141,0.41886818,1.1857948,-0.23585092,0.051826686,-0.5256104,-0.4178026,0.06666666
