site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
112,-0.47528726,0.21765104,0.2917267,0.18072936,0.18188135,0.9023609,0.0032188892,-0.293935,0.083333336
113,-0.27982038,0.07015242,0.13504812,0.061283924,-0.037482664,1.0946064,-0.21010967,0.1614859,0.11111111
114,0.28027132,-0.2929063,0.1349963,-0.03884653,0.2605909,0.009439915,-0.5299643,0.16821578,0.071428575
115,0.895555,-0.47799176,-0.35297865,-0.14090827,-0.51099676,-0.39666396,0.2040415,-0.608126,0.09999999
116,-0.16770793,0.2565208,0.6333094,0.107922584,0.95666635,-0.14921384,-0.26544237,0.19802874,0.09090909
117,-0.24401638,0.23538293,-0.14451818,-0.25807407,0.16663677,0.8265841,-0.06587021,-0.009296369,0.08333333
118,0.49841794,-0.32491145,0.48290145,0.5034871,-0.33046013,-0.18340209,0.13895465,-0.0076142363,0.07692308
119,0.57088673,-0.16741233,0.15395741,-0.022689007,-0.033776686,-0.21456018,0.056216672,0.10696706,0.07142856
120,0.1280632,0.13272156,-0.0010082275,-0.034004815,0.15624419,-0.054355785,0.21631987,-0.2698618,0.07142858
121,0.2657344,0.10041864,-0.010536179,-0.46642292,0.37722105,0.24879928,-0.17099756,0.3832508,0.062499993
122,0.19965076,0.31264186,-0.11157547,-0.5356071,0.3371777,0.33793038,0.110042915,0.2589869,0.06666667
123,-0.60692626,0.13628882,0.8033895,0.64685845,0.50836056,0.40502608,-0.23851836,-0.5005944,0.0625
124,0.40267423,0.049244586,0.3692047,0.081255406,-0.08293657,0.088896915,0.3537851,0.100523815,0.07692308
125,0.46108505,0.013751132,0.2544101,-0.19475067,0.3006097,-0.17707264,-0.01657547,0.31986335,0.058823522
126,0.14284974,0.2186707,0.44114846,0.1475221,0.37534976,-0.32558116,0.3382032,-0.23717357,0.062499996
127,0.09276541,-0.0030974485,-0.055820286,0.0125876665,-0.08702968,0.3211804,0.052771702,-0.21739028,0.05555555
128,0.55657595,0.029212456,-0.019089788,-0.25406098,-0.032149404,-0.09200169,0.2811662,0.09288852,0.07692308
129,0.62216645,-0.059662756,0.19796687,-0.23999286,0.21553989,-0.3078251,0.14039199,0.05544838,0.049999993
130,0.3212915,0.2225691,0.069618955,-0.2605036,0.22163287,-0.029077098,0.29915005,0.06564911,0.055555556
131,-0.32731536,-0.019315181,0.13498236,0.39593193,0.1701023,0.20334539,-0.07496025,-0.88317126,0.05882353
132,0.20425954,-0.013770439,0.1455953,0.20923874,-0.09535204,-0.030291587,0.2785769,-0.42793927,0.052631587
133,0.36066204,-0.34609205,0.27716666,0.22536659,0.102383345,-0.2331194,-0.34629172,0.06967901,0.0625
134,0.26046652,0.05780913,0.25043976,0.117965475,0.05334331,-0.08752966,0.19323833,0.008855779,0.05263157
135,0.32370785,0.060138624,-0.18669243,-0.41395658,0.17056827,0.14170694,0.055665627,-0.09999965,0.04761905
136,0.28250882,0.19699934,0.15481469,-0.44599104,0.4587527,0.18763109,-0.027134612,0.44405118,0.06666666
137,-0.0028572306,-0.29186222,0.20759678,0.35878906,-0.0068751574,0.16706878,-0.3813511,-0.17670132,0.05882353
138,0.1966415,0.2464926,0.13417491,-0.36013144,0.5303784,0.016482852,0.013578534,0.23458786,0.05263157
139,-0.021648463,0.09850952,0.1230482,-0.011648864,0.34038454,0.14653337,-0.12584242,-0.002166856,0.07692307
140,-0.13995026,0.015852416,0.04741636,-0.03588032,0.23678921,0.51121354,-0.25061983,-0.18572316,0.055555556
141,0.7281536,-0.026669648,-0.14222936,-0.5661162,-0.07898785,0.1675427,0.2105258,0.23901172,0.07692308
143,-0.24028611,0.10123995,0.6600766,0.14898941,1.060009,-0.20712778,-0.5364759,0.17315316,0.14285713
144,0.48015818,-0.01950815,0.21941482,-0.1650253,0.09560454,-0.011900187,0.116168514,0.16276827,0.05882353
145,0.19299167,0.07273495,0.41977787,0.37139535,-0.27862185,0.24003866,0.47432464,-0.13628443,0.050000004
146,-0.31836855,0.4159343,-0.051091477,-0.19640973,0.23793206,0.7427864,0.17628326,-0.2337447,0.090909086
148,-0.17634967,-0.19389535,0.2973578,0.106648564,0.42420954,0.4283836,-0.68473935,4.034117e-05,0.071428575
149,0.30089808,-0.41905755,-0.38255453,-0.2014302,-0.08152346,0.2289946,-0.56291044,-0.22924425,0.071428575
150,0.22064275,0.1543281,0.18662937,-0.26039392,0.56343824,-0.11139028,-0.07020314,0.21686988,0.0909091
151,0.357918,-0.15346667,-0.13971592,-0.17661563,-0.10581608,0.1955325,-0.06736131,-0.10260904,0.071428575
152,0.5637069,-0.21251725,0.306073,0.08853126,-0.15231578,-0.057543874,0.104609534,0.13943234,0.045454547
153,-0.19755012,0.08894046,0.04421281,0.07821478,-0.0396138,0.7730798,-0.097404286,-0.024624635,0.05555555
154,0.67016727,-0.04113142,-0.10129966,-0.16268525,-0.12625782,-0.48456687,0.5353357,-0.5782174,0.07692307
155,0.65968996,-0.27748978,-0.0052286685,-0.10952527,0.12303416,-0.5313887,-0.08865602,-0.12481956,0.14285715
157,0.12859401,-0.30043975,0.5323764,0.3485477,0.30908626,-0.15952799,-0.45282876,-0.11203669,0.124999985
159,0.199776,-0.2679345,0.021628253,0.2677068,-0.28535193,0.1790556,-0.047217034,-0.36747262,0.05882353
160,0.6207672,-0.15258236,0.28113586,-0.18494654,0.32841384,-0.5488299,-0.051482737,0.15647358,0.07692309
161,0.2859762,0.19119044,0.09883725,-0.28159013,0.17939274,0.1457215,0.32159054,-0.000121023506,0.07692308
162,-0.48070276,0.11373976,-0.024864495,0.20624816,0.038678825,0.7994971,-0.10259632,-0.6401467,0.09090909
163,0.69785684,-0.30509505,0.2469865,0.21407855,-0.19485323,-0.5109681,0.11077051,0.010531183,0.06666667
164,-0.26260108,-0.2276747,0.2470323,0.2531456,0.46452558,0.2294222,-0.7232125,-0.21810986,0.06666668
165,0.22829023,-0.12048413,0.25693303,0.1369898,-0.03513196,0.18978725,-0.06915042,0.122630514,0.0625
166,0.6396242,-0.15889324,0.020187214,-0.27702895,-0.03577356,-0.030763224,0.020411238,0.24007271,0.071428575
167,0.01881215,-0.027141914,0.7703348,0.3804124,0.25533104,0.1945576,-0.20594612,0.51468366,0.1
168,0.56224304,-0.048972,0.24368319,0.05437273,-0.18840398,-0.10847205,0.34474397,0.09991668,0.049999993
169,-0.35833898,0.1489602,-0.0036863238,-0.09302168,0.47253656,0.5795864,-0.35762906,-0.30571735,0.05
170,-0.14725384,-0.06557092,0.34588158,0.038072385,0.50517356,0.48465392,-0.5880211,0.22731549,0.06666666
171,0.5916735,-0.2776439,-0.17586626,0.013289504,-0.39080042,-0.13010745,0.1655501,-0.33628926,0.06666667
172,0.5275411,-0.22912121,0.08313319,0.09458363,-0.054943636,-0.41249532,0.09181546,-0.32352597,0.08333333
173,0.0067123324,-0.034550015,0.5227452,0.17740422,0.38642186,0.2026195,-0.3047733,0.301632,0.07692307
174,0.59330165,-0.12931155,0.29932314,-0.040922128,0.055172645,-0.1855118,0.005918905,0.4254879,0.04347826
175,0.8486037,-0.23252809,0.28688717,-0.093936704,0.11713854,-0.7006937,0.07256813,0.251947,0.06250001
177,-0.40312567,-0.13024423,-0.0065389723,0.12579456,-0.005429685,1.0233586,-0.49147034,-0.37220442,0.07142858
178,0.23731053,-0.028229743,-0.09723224,0.0638747,-0.09511162,-0.07012452,0.15865155,-0.3842361,0.0625
179,0.32080576,0.02169542,0.15865605,-0.132923,0.29050854,-0.15433864,-0.00034497678,0.03048766,0.04761905
180,0.19307682,0.22473638,0.19341731,-0.15142241,0.48706603,-0.27187127,0.15109275,-0.09882791,0.09090909
183,0.17981732,-0.04719562,0.13266085,-0.050450735,0.21480541,0.053986218,-0.10061531,-0.17211878,0.058823545
184,0.24197534,-0.07234681,0.48234504,0.12537506,0.3176356,-0.10928565,-0.1354827,0.21634285,0.071428575
185,0.2925037,-0.22693305,0.15291014,0.08176226,0.0853829,-0.049536288,-0.244809,0.11313473,0.14285716
186,0.1670034,-0.0078007933,0.30915695,0.2124773,0.0998698,-0.010071047,0.071295485,-0.14313388,0.06666667
187,-0.23879561,-0.05241482,0.33504295,0.26132554,0.24875778,0.55156827,-0.43042403,0.09557996,0.07692307
188,-0.36654916,0.49489963,0.5483074,0.02784969,0.78478813,0.24238208,0.079537645,0.09445225,0.06666667
189,-0.096451476,0.17084117,0.17448458,-0.2880041,0.599195,0.42890686,-0.35451323,0.30688125,0.06666668
190,0.42485553,-0.20058118,-0.19205792,0.18034184,-0.5038745,-0.054363057,0.35741234,-0.5763325,0.14285715
193,0.24870285,0.07953596,0.69804364,0.19539875,0.7522987,-0.6607574,-0.095006466,0.25106758,0.0909091
194,0.57218724,-0.24590503,0.23534815,0.058879346,-0.1718059,-0.050826997,0.020965174,0.1919751,0.058823537
195,0.8232368,-0.2868747,0.15797114,0.0027255416,-0.3276598,-0.24404287,0.23237257,0.061770096,0.049999997
196,-0.0040966347,0.527175,0.27127442,-0.29554477,0.9148309,-0.25188437,0.17964374,0.053841718,0.07142857
197,0.15306976,-0.1555461,0.24304855,0.1777713,0.005151704,0.18639368,-0.13040857,-0.09297909,0.071428575
198,0.34994012,0.14513978,0.2845629,-0.03398309,0.06671605,-0.0069797635,0.37133348,0.04729701,0.05263157
200,-0.08580005,-0.012095094,0.4380958,0.16994476,0.2883051,0.3823623,-0.31940597,0.1874365,0.045454547
201,-0.09875026,0.025661873,0.20545828,-0.002404742,0.45906955,0.20572148,-0.38479894,0.01702806,0.0625
204,-0.09768478,0.24893065,0.5423735,0.34843072,0.38465816,-0.07049236,0.25055468,-0.23770614,0.055555556
205,-0.15645415,0.36483914,-0.2458749,-0.55035603,0.44020694,0.6900225,-0.07937729,0.06663192,0.058823526
206,-0.11194024,0.046513155,-0.45004338,-0.3580597,-0.090231106,0.94660914,-0.19345808,-0.18368554,0.055555563
207,0.10310253,0.14419289,0.08521366,-0.33422816,0.47783,0.2646491,-0.21930203,0.38236824,0.043478258
208,-0.23683405,-0.13637693,0.077812925,-0.015999094,0.494866,0.39352697,-0.6033101,-0.42082796,0.09090909
209,-0.17406964,0.1562096,0.42642665,0.17441413,0.5924256,0.0068129003,-0.16586481,-0.096087396,0.06250001
210,0.034599096,0.19980143,-0.014495537,-0.3608954,0.59242934,0.084692866,-0.1843418,0.100229084,0.071428575
